Местное время,Населенный пункт,type_id,T,P,U,DD,Ff,N,WW,Cl,Cm,Nh
2021-04-28,Тюмень,1,15.1,756.1,26.0,"Ветер, дующий с юго-запада",5.0,70 – 80%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",40%.
2021-04-29,Вагай,3,11.2,754.5,29.0,"Ветер, дующий с запада",6.0,70 – 80%., ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",70 – 80%.
2021-04-29,Ишим,3,12.4,756.6,26.0,"Ветер, дующий с запада",6.0,70 – 80%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",70 – 80%.
2021-04-30,Тюмень,1,7.6,761.2,70.0,"Ветер, дующий с запада",4.0,70 – 80%.,Ливневый(ые) дождь(и). ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевые просвечивающие, расположенные на одном уровне.",40%.
2021-05-01,Ишим,1,12.4,769.2,15.0,"Ветер, дующий с северо-запада",5.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-05-01,Вагай,1,10.9,767.5,18.0,"Ветер, дующий с запада",4.0,20–30%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-05-01,Тюмень,1,13.9,767.4,20.0,"Ветер, дующий с юга",5.0,70 – 80%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.","10%  или менее, но не 0"
2021-05-01,Вагай,5,10.9,767.5,18.0,"Ветер, дующий с запада",4.0,20–30%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-05-01,Ишим,3,12.4,769.2,15.0,"Ветер, дующий с северо-запада",5.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-05-02,Вагай,1,20.0,757.6,21.0,"Ветер, дующий с западо-юго-запада",7.0,"90  или более, но не 100%", ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевые просвечивающие, расположенные на одном уровне.",70 – 80%.
2021-05-02,Ишим,4,22.3,761.8,17.0,"Ветер, дующий с юго-запада",12.0,100%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",50%.
2021-05-02,Вагай,3,20.0,757.6,21.0,"Ветер, дующий с западо-юго-запада",7.0,"90  или более, но не 100%", ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевые просвечивающие, расположенные на одном уровне.",70 – 80%.
2021-05-03,Вагай,1,12.4,763.3,21.0,"Ветер, дующий с северо-запада",5.0,70 – 80%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",70 – 80%.
2021-05-03,Ишим,4,14.7,763.5,27.0,"Ветер, дующий с западо-северо-запада",4.0,70 – 80%., ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",50%.
2021-05-03,Вагай,3,12.4,763.3,21.0,"Ветер, дующий с северо-запада",5.0,70 – 80%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",70 – 80%.
2021-05-03,Ишим,1,14.7,763.5,27.0,"Ветер, дующий с западо-северо-запада",4.0,70 – 80%., ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",50%.
2021-05-03,Ялуторовск,1,14.3,764.5,19.0,"Ветер, дующий с северо-запада",4.0,20–30%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",20–30%.
2021-05-04,Ишим,1,17.2,764.7,25.0,"Ветер, дующий с юга",8.0,"90  или более, но не 100%", ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","90  или более, но не 100%"
2021-05-04,Вагай,3,16.6,761.2,24.0,"Ветер, дующий с юго-юго-запада",7.0,60%.,Состояние неба в общем не изменилось. ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.",60%.
2021-05-05,Ишим,1,24.4,754.6,17.0,"Ветер, дующий с юга",6.0,100%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.",60%.
2021-05-05,Вагай,3,26.4,752.2,16.0,"Ветер, дующий с юга",7.0,60%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-05-05,Вагай,1,26.4,752.2,16.0,"Ветер, дующий с юга",7.0,60%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-05-05,Ялуторовск,1,27.2,752.0,18.0,"Ветер, дующий с юга",7.0,70 – 80%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-05-06,Ишим,1,17.9,753.2,24.0,"Ветер, дующий с запада",6.0,"10%  или менее, но не 0", ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","10%  или менее, но не 0"
2021-05-06,Вагай,3,13.3,752.3,48.0,"Ветер, дующий с западо-северо-запада",6.0,"90  или более, но не 100%",Ливневый(ые) дождь(и). ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",Высококучевые башенкообразные или хлопьевидные.,70 – 80%.
2021-05-06,Вагай,1,13.3,752.3,48.0,"Ветер, дующий с западо-северо-запада",6.0,"90  или более, но не 100%",Ливневый(ые) дождь(и). ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",Высококучевые башенкообразные или хлопьевидные.,70 – 80%.
2021-05-06,Ишим,3,17.9,753.2,24.0,"Ветер, дующий с запада",6.0,"10%  или менее, но не 0", ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","10%  или менее, но не 0"
2021-05-06,Ишим,4,17.9,753.2,24.0,"Ветер, дующий с запада",6.0,"10%  или менее, но не 0", ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","10%  или менее, но не 0"
2021-05-07,Вагай,3,16.3,761.7,19.0,"Ветер, дующий с запада",7.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-05-07,Ишим,1,19.0,763.4,16.0,"Ветер, дующий с запада",5.0,Облаков нет.,"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ","Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-05-07,Ишим,3,19.0,763.4,16.0,"Ветер, дующий с запада",5.0,Облаков нет.,"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ","Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-05-07,Вагай,1,16.3,761.7,19.0,"Ветер, дующий с запада",7.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-05-07,Ишим,4,19.0,763.4,16.0,"Ветер, дующий с запада",5.0,Облаков нет.,"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ","Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-05-07,Вагай,4,16.3,761.7,19.0,"Ветер, дующий с запада",7.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-05-08,Вагай,3,25.3,762.2,17.0,"Ветер, дующий с северо-запада",1.0,60%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",60%.
2021-05-08,Ишим,3,24.5,763.3,13.0,"Ветер, дующий с запада",1.0,70 – 80%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-05-08,Ишим,4,24.5,763.3,13.0,"Ветер, дующий с запада",1.0,70 – 80%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-05-08,Вагай,1,25.3,762.2,17.0,"Ветер, дующий с северо-запада",1.0,60%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",60%.
2021-05-09,Ишим,1,24.3,762.0,18.0,"Ветер, дующий с востока",5.0,100%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","10%  или менее, но не 0"
2021-05-09,Вагай,3,22.4,764.6,25.0,"Ветер, дующий с востоко-северо-востока",4.0,70 – 80%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.",20–30%.
2021-05-09,Вагай,1,22.4,764.6,25.0,"Ветер, дующий с востоко-северо-востока",4.0,70 – 80%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.",20–30%.
2021-05-10,Ишим,1,17.8,767.8,22.0,"Ветер, дующий с востоко-северо-востока",6.0,100%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-05-10,Вагай,3,19.6,769.1,24.0,"Ветер, дующий с северо-востока",3.0,20–30%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-05-10,Ишим,3,17.8,767.8,22.0,"Ветер, дующий с востоко-северо-востока",6.0,100%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-05-10,Вагай,1,19.6,769.1,24.0,"Ветер, дующий с северо-востока",3.0,20–30%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-05-11,Ишим,4,23.1,768.5,19.0,"Ветер, дующий с северо-северо-запада",2.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-05-11,Вагай,3,23.3,768.3,17.0,"Ветер, дующий с запада",3.0,40%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-05-11,Ишим,3,23.1,768.5,19.0,"Ветер, дующий с северо-северо-запада",2.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-05-11,Ишим,1,23.1,768.5,19.0,"Ветер, дующий с северо-северо-запада",2.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-05-12,Вагай,3,15.6,768.7,34.0,"Ветер, дующий с северо-запада",5.0,100%.,"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ","Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-05-12,Ишим,1,21.0,766.6,26.0,"Ветер, дующий с северо-северо-запада",7.0,100%.,"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ","Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",60%.
2021-05-13,Ялуторовск,1,27.5,766.0,21.0,"Ветер, дующий с северо-северо-запада",6.0,70 – 80%., ,"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",20–30%.
2021-05-13,Вагай,3,25.0,764.1,27.0,"Ветер, дующий с северо-северо-запада",6.0,70 – 80%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.",20–30%.
2021-05-13,Ишим,3,27.1,764.1,21.0,"Ветер, дующий с северо-запада",5.0,100%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",40%.
2021-05-14,Вагай,1,26.4,766.8,23.0,"Ветер, дующий с юго-запада",4.0,50%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-05-14,Вагай,3,26.4,766.8,23.0,"Ветер, дующий с юго-запада",4.0,50%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-05-14,Ялуторовск,1,29.3,767.7,20.0,"Ветер, дующий с юго-запада",3.0,20–30%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-05-15,Вагай,3,29.8,761.8,21.0,"Ветер, дующий с запада",4.0,70 – 80%., ,"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",70 – 80%.
2021-05-16,Вагай,3,26.4,761.1,34.0,"Ветер, дующий с западо-северо-запада",6.0,40%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",40%.
2021-05-16,Тюмень,3,30.9,761.9,23.0,"Ветер, дующий с запада",3.0,"10%  или менее, но не 0", ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-05-17,Вагай,3,31.9,757.2,14.0,"Ветер, дующий с запада",7.0,70 – 80%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",20–30%.
2021-05-19,Ишим,4,18.1,765.4,31.0,"Ветер, дующий с северо-северо-востока",5.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-05-19,Ишим,1,18.1,765.4,31.0,"Ветер, дующий с северо-северо-востока",5.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-05-19,Ялуторовск,3,19.4,766.9,34.0,"Ветер, дующий с севера",4.0,60%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",20–30%.
2021-05-20,Ялуторовск,3,23.4,765.3,27.0,"Ветер, дующий с западо-юго-запада",4.0,"90  или более, но не 100%", ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-05-20,Вагай,3,14.6,764.7,62.0,"Ветер, дующий с юга",4.0,100%.,Ливневый(ые) дождь(и). ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",100%.
2021-05-21,Вагай,3,28.6,761.9,27.0,"Ветер, дующий с северо-запада",2.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-05-22,Вагай,3,30.3,761.1,19.0,"Ветер, дующий с западо-юго-запада",6.0,70 – 80%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",70 – 80%.
2021-05-22,Ишим,4,31.0,763.2,17.0,"Ветер, дующий с западо-юго-запада",6.0,20–30%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",20–30%.
