Местное время,Населенный пункт,type_id,T,P,U,DD,Ff,N,WW,Cl,Cm,Nh
2021-05-23,Вагай,3,23.1,761.9,51.0,"Ветер, дующий с запада",6.0,"90  или более, но не 100%",Ливневый(ые) дождь(и). ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевые просвечивающие, расположенные на одном уровне.",40%.
2021-05-23,Уват,3,21.0,760.8,56.0,"Ветер, дующий с западо-северо-запада",5.0,100%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.",Высокослоистые непросвечивающие или слоисто-дождевые.,20–30%.
2021-05-24,Вагай,3,24.6,763.6,29.0,"Ветер, дующий с юга",1.0,"90  или более, но не 100%", ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Высококучевые башенкообразные или хлопьевидные.,40%.
2021-05-24,Уват,3,21.8,763.0,40.0,"Ветер, дующий с юго-юго-запада",2.0,100%.,"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ","Слоисто-кучевые, образовавшиеся не из кучевых.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",100%.
2021-05-25,Вагай,3,26.8,759.4,25.0,"Ветер, дующий с северо-запада",4.0,20–30%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-05-22,Уват,3,29.6,760.2,26.0,"Ветер, дующий с запада",3.0,"90  или более, но не 100%", ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",60%.
2020-04-14,Тюмень,1,8.8,758.2,39.0,"Ветер, дующий с юго-юго-востока",4.0,70 – 80%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",70 – 80%.
2021-05-26,Вагай,3,24.3,750.2,45.0,"Ветер, дующий с запада",7.0,70 – 80%.,"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ","Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",Высококучевые башенкообразные или хлопьевидные.,50%.
2021-05-27,Вагай,3,12.4,762.5,58.0,"Ветер, дующий с северо-запада",6.0,"90  или более, но не 100%", ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","90  или более, но не 100%"
2021-05-28,Вагай,3,14.3,765.4,53.0,"Ветер, дующий с юго-юго-запада",4.0,100%.,"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ","Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",100%.
2021-05-28,Тюмень,1,19.6,764.2,40.0,"Ветер, дующий с юго-запада",4.0,70 – 80%., ,"Слоисто-кучевые, образовавшиеся не из кучевых.",Высококучевые башенкообразные или хлопьевидные.,20–30%.
2021-05-29,Вагай,3,22.9,760.8,39.0,"Ветер, дующий с востоко-юго-востока",2.0,70 – 80%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.",20–30%.
2021-05-29,Ишим,1,28.6,761.3,20.0,"Ветер, дующий с юго-запада",6.0,"10%  или менее, но не 0", ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","10%  или менее, но не 0"
2021-05-30,Вагай,3,28.9,756.0,18.0,"Ветер, дующий с юга",6.0,100%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-05-30,Уват,3,29.2,754.6,23.0,"Ветер, дующий с юго-запада",5.0,40%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-05-31,Ишим,3,30.1,751.6,28.0,"Ветер, дующий с северо-северо-востока",2.0,60%., ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевые просвечивающие, расположенные на одном уровне.",40%.
2021-06-01,Вагай,3,16.0,761.1,34.0,"Ветер, дующий с северо-северо-востока",2.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-06-02,Вагай,3,20.3,760.2,28.0,"Ветер, дующий с северо-северо-запада",4.0,70 – 80%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",70 – 80%.
2021-06-03,Вагай,3,19.5,759.4,25.0,"Ветер, дующий с западо-северо-запада",4.0,70 – 80%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.",Высококучевые башенкообразные или хлопьевидные.,60%.
2021-06-04,Вагай,3,13.1,765.7,32.0,"Ветер, дующий с северо-северо-запада",4.0,40%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",40%.
2021-06-06,Вагай,3,27.3,759.0,20.0,"Ветер, дующий с западо-юго-запада",7.0,20–30%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",20–30%.
2021-06-06,Ялуторовск,1,26.0,761.5,20.0,"Ветер, дующий с западо-юго-запада",4.0,"10%  или менее, но не 0", ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","10%  или менее, но не 0"
2021-06-07,Вагай,3,26.4,755.8,31.0,"Ветер, дующий с севера",2.0,70 – 80%., ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",60%.
2021-06-07,Вагай,1,26.4,755.8,31.0,"Ветер, дующий с севера",2.0,70 – 80%., ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",60%.
2021-06-07,Ялуторовск,1,27.1,756.3,21.0,"Ветер, дующий с западо-северо-запада",3.0,70 – 80%., ,"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",70 – 80%.
2021-06-07,Тюмень,1,27.5,756.3,25.0,"Ветер, дующий с западо-юго-запада",2.0,60%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевые просвечивающие, расположенные на одном уровне.",50%.
2021-06-08,Тюмень,3,15.6,762.7,36.0,"Ветер, дующий с северо-запада",3.0,"10%  или менее, но не 0", ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","10%  или менее, но не 0"
2021-06-08,Вагай,3,14.5,762.2,37.0,"Ветер, дующий с севера",4.0,70 – 80%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",70 – 80%.
2021-06-09,Вагай,3,16.3,763.9,28.0,"Ветер, дующий с северо-северо-запада",1.0,70 – 80%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",70 – 80%.
2021-06-10,Ишим,1,18.2,763.4,23.0,"Ветер, дующий с северо-востока",3.0,70 – 80%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","10%  или менее, но не 0"
2021-06-11,Вагай,1,20.9,766.0,25.0,"Ветер, дующий с севера",4.0,70 – 80%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",70 – 80%.
2021-06-11,Вагай,3,20.9,766.0,25.0,"Ветер, дующий с севера",4.0,70 – 80%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",70 – 80%.
2021-06-12,Вагай,3,25.9,766.0,23.0,"Ветер, дующий с северо-запада",4.0,70 – 80%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",70 – 80%.
2021-06-12,Ишим,1,23.8,766.9,23.0,"Ветер, дующий с запада",3.0,40%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",40%.
2021-06-13,Ишим,4,27.7,766.6,21.0,"Ветер, дующий с северо-северо-запада",4.0,40%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-06-13,Вагай,3,27.5,766.3,22.0,"Ветер, дующий с северо-запада",4.0,70 – 80%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-06-13,Вагай,1,27.5,766.3,22.0,"Ветер, дующий с северо-запада",4.0,70 – 80%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-06-14,Вагай,1,30.3,764.9,18.0,"Ветер, дующий с юго-запада",4.0,20–30%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-06-14,Ишим,1,30.4,766.0,17.0,"Ветер, дующий с западо-юго-запада",3.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-06-14,Вагай,3,30.3,764.9,18.0,"Ветер, дующий с юго-запада",4.0,20–30%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-06-14,Уват,3,29.5,763.9,25.0,"Ветер, дующий с западо-юго-запада",3.0,50%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",20–30%.
2021-06-14,Тюмень,1,30.6,765.1,14.0,"Ветер, дующий с юго-запада",4.0,20–30%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-06-15,Уват,3,29.4,757.2,36.0,"Ветер, дующий с западо-юго-запада",4.0,100%., ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевые просвечивающие, расположенные на одном уровне.","90  или более, но не 100%"
2021-06-15,Вагай,3,32.2,758.5,17.0,"Ветер, дующий с юго-запада",6.0,60%.,"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ","Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",60%.
2021-06-15,Тюмень,1,29.7,759.0,24.0,"Ветер, дующий с запада",2.0,100%., ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.",20–30%.
2021-06-15,Вагай,1,32.2,758.5,17.0,"Ветер, дующий с юго-запада",6.0,60%.,"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ","Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",60%.
2021-06-16,Вагай,1,27.1,758.4,35.0,"Ветер, дующий с северо-запада",5.0,"90  или более, но не 100%", ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",40%.
2021-06-16,Уват,3,23.7,758.5,43.0,"Ветер, дующий с северо-запада",5.0,100%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",50%.
2021-06-16,Вагай,3,27.1,758.4,35.0,"Ветер, дующий с северо-запада",5.0,"90  или более, но не 100%", ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",40%.
2021-06-17,Уват,3,27.8,750.4,46.0,"Ветер, дующий с юго-юго-запада",2.0,100%.,"Гроза, но без осадков, в срок наблюдения. ","Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевые просвечивающие, расположенные на одном уровне.",60%.
2021-06-17,Вагай,3,28.8,752.8,31.0,"Ветер, дующий с западо-юго-запада",5.0,70 – 80%., ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",70 – 80%.
2021-06-30,Вагай,3,31.0,758.1,47.0,"Ветер, дующий с юга",1.0,60%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",40%.
2021-06-30,Тюмень,3,35.7,757.5,25.0,"Ветер, дующий с западо-юго-запада",2.0,40%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",40%.
2021-07-01,Вагай,3,34.3,756.3,38.0,"Ветер, дующий с юго-востока",3.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-07-02,Вагай,3,30.4,756.1,44.0,"Ветер, дующий с северо-северо-запада",2.0,70 – 80%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Высококучевые башенкообразные или хлопьевидные.,60%.
2021-07-04,Вагай,3,33.1,747.1,35.0,"Ветер, дующий с юго-востока",3.0,20–30%., ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",20–30%.
2021-07-07,Ишим,1,23.1,763.9,29.0,"Ветер, дующий с западо-северо-запада",2.0,"10%  или менее, но не 0", ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","10%  или менее, но не 0"
2021-07-08,Вагай,3,27.8,761.5,34.0,"Ветер, дующий с северо-запада",4.0,40%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",40%.
2021-07-08,Тюмень,3,28.1,762.5,28.0,"Ветер, дующий с западо-северо-запада",3.0,20–30%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-07-09,Ишим,3,27.8,758.1,33.0,"Ветер, дующий с северо-востока",4.0,40%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",40%.
2021-07-09,Вагай,3,27.1,759.4,33.0,"Ветер, дующий с востока",2.0,40%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",40%.
2021-07-09,Уват,3,27.6,759.6,40.0,"Ветер, дующий с юго-запада",1.0,50%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",20–30%.
2021-07-09,Тюмень,1,28.1,759.1,32.0,"Ветер, дующий с северо-северо-востока",3.0,20–30%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","10%  или менее, но не 0"
2021-07-09,Тюмень,2,28.1,759.1,32.0,"Ветер, дующий с северо-северо-востока",3.0,20–30%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","10%  или менее, но не 0"
2021-07-09,Ялуторовск,3,28.4,758.9,36.0,"Ветер, дующий с северо-востока",2.0,40%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевые просвечивающие, расположенные на одном уровне.",20–30%.
2021-07-10,Вагай,3,25.9,752.2,49.0,"Ветер, дующий с северо-запада",4.0,100%., ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",100%.
