Местное время,Населенный пункт,type_id,T,P,U,DD,Ff,N,WW,Cl,Cm,Nh
2021-07-10,Ишим,4,27.5,752.4,28.0,"Ветер, дующий с северо-востока",1.0,"10%  или менее, но не 0", ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-07-13,Ялуторовск,3,16.6,755.8,57.0,"Ветер, дующий с севера",7.0,100%., ,"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",100%.
2021-07-14,Ялуторовск,3,16.1,757.2,47.0,"Ветер, дующий с севера",8.0,70 – 80%., ,"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",70 – 80%.
2021-07-20,Ялуторовск,3,24.0,756.8,63.0,"Ветер, дующий с севера",1.0,70 – 80%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевые просвечивающие, расположенные на одном уровне.",60%.
2021-07-21,Ялуторовск,3,29.0,753.4,44.0,"Ветер, дующий с юга",6.0,40%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",20–30%.
2021-08-14,Тюмень,2,28.4,762.4,24.0,"Ветер, дующий с западо-юго-запада",2.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-08-15,Ишим,1,29.9,760.8,30.0,"Ветер, дующий с западо-северо-запада",3.0,40%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.",40%.
2021-08-17,Тюмень,2,31.5,761.6,27.0,"Ветер, дующий с западо-юго-запада",3.0,70 – 80%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Высококучевые башенкообразные или хлопьевидные.,20–30%.
2021-08-18,Тюмень,3,25.6,763.6,40.0,"Ветер, дующий с западо-северо-запада",2.0,70 – 80%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","10%  или менее, но не 0"
2021-08-18,Ялуторовск,1,26.0,763.7,41.0,"Ветер, дующий с западо-северо-запада",1.0,"90  или более, но не 100%", ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.","10%  или менее, но не 0"
2021-08-19,Тюмень,3,27.5,763.2,30.0,"Ветер, дующий с западо-северо-запада",2.0,60%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-08-20,Тюмень,3,31.3,764.1,27.0,"Ветер, дующий с западо-юго-запада",2.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-08-21,Тюмень,3,34.0,765.1,25.0,"Ветер, дующий с запада",2.0,"90  или более, но не 100%", ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-08-22,Ялуторовск,3,34.1,766.8,47.0,"Ветер, дующий с юга",2.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-08-23,Ялуторовск,3,35.2,765.0,52.0,"Ветер, дующий с юго-юго-запада",4.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-08-24,Ялуторовск,3,34.0,764.2,50.0,"Ветер, дующий с юго-юго-запада",4.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-08-25,Ялуторовск,3,34.2,762.9,25.0,"Ветер, дующий с юга",3.0,40%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",40%.
2021-08-25,Вагай,3,32.4,763.1,31.0,"Ветер, дующий с юго-юго-запада",2.0,20–30%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",20–30%.
2021-08-26,Ялуторовск,3,32.8,759.9,39.0,"Ветер, дующий с юго-запада",2.0,70 – 80%., ,"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",60%.
2021-08-26,Вагай,3,31.4,760.1,42.0,"Ветер, дующий с юга",2.0,20–30%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.",20–30%.
2021-08-29,Ялуторовск,3,15.9,762.1,45.0,"Ветер, дующий с севера",3.0,60%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",60%.
2021-08-30,Вагай,3,17.8,758.4,82.0,"Ветер, дующий с северо-запада",2.0,70 – 80%., ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",70 – 80%.
2021-08-31,Вагай,3,13.7,761.2,66.0,"Ветер, дующий с северо-запада",2.0,"90  или более, но не 100%",Ливневый(ые) дождь(и). ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","90  или более, но не 100%"
2021-09-02,Ялуторовск,2,22.7,760.6,46.0,"Ветер, дующий с юга",7.0,40%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-09-03,Ишим,1,24.9,760.0,25.0,"Ветер, дующий с юго-юго-востока",4.0,20–30%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-09-04,Вагай,3,24.3,754.6,39.0,"Ветер, дующий с юго-востока",5.0,70 – 80%., ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевые просвечивающие, расположенные на одном уровне.",20–30%.
2021-09-04,Ишим,1,27.5,756.0,25.0,"Ветер, дующий с юго-юго-востока",4.0,"90  или более, но не 100%", ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",20–30%.
2021-09-04,Ялуторовск,3,26.4,752.1,35.0,"Ветер, дующий с юго-востока",4.0,"90  или более, но не 100%", ,"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.","Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.",50%.
2021-09-05,Вагай,3,20.9,756.6,41.0,"Ветер, дующий с западо-юго-запада",3.0,70 – 80%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",70 – 80%.
2021-09-05,Ялуторовск,3,21.3,757.1,38.0,"Ветер, дующий с западо-юго-запада",6.0,60%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",60%.
2021-09-05,Ишим,1,22.0,757.9,35.0,"Ветер, дующий с западо-юго-запада",5.0,20–30%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",20–30%.
2021-09-06,Вагай,3,16.0,764.3,36.0,"Ветер, дующий с западо-юго-запада",6.0,20–30%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",20–30%.
2021-09-06,Ялуторовск,3,18.7,764.9,29.0,"Ветер, дующий с запада",4.0,60%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевые просвечивающие, расположенные на одном уровне.",50%.
2021-09-06,Ишим,1,18.5,765.9,25.0,"Ветер, дующий с западо-северо-запада",2.0,20–30%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-09-07,Ялуторовск,3,15.7,762.7,50.0,"Ветер, дующий с запада",3.0,60%., ,"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",60%.
2021-09-08,Ялуторовск,3,14.1,759.2,41.0,"Ветер, дующий с западо-юго-запада",4.0,70 – 80%., ,"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",70 – 80%.
2020-04-25,Ишим,5,9.2,762.5,23.0,"Ветер, дующий с юго-запада",7.0,20–30%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",20–30%.
2020-04-26,Ишим,1,19.4,763.8,17.0,"Ветер, дующий с юго-запада",9.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2020-04-27,Ишим,1,17.6,758.4,22.0,"Ветер, дующий с юго-юго-востока",5.0,70 – 80%., ,"Слоисто-кучевые, образовавшиеся не из кучевых.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",70 – 80%.
2020-04-28,Вагай,1,19.3,750.1,42.0,"Ветер, дующий с востоко-юго-востока",1.0,70 – 80%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.",60%.
2020-04-29,Ишим,1,19.0,750.6,34.0,"Ветер, дующий с юго-запада",9.0,60%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",40%.
2020-05-05,Ялуторовск,1,20.7,769.9,18.0,"Ветер, дующий с западо-юго-запада",4.0,20–30%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2020-05-06,Ялуторовск,1,25.1,767.0,19.0,"Ветер, дующий с юго-юго-запада",5.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2020-05-06,Уват,1,25.0,762.8,26.0,"Ветер, дующий с запада",7.0,"90  или более, но не 100%", ,"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",60%.
2020-05-06,Тюмень,1,26.3,765.9,17.0,"Ветер, дующий с юго-юго-запада",4.0,"10%  или менее, но не 0", ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","10%  или менее, но не 0"
2020-05-07,Ялуторовск,1,27.2,765.1,15.0,"Ветер, дующий с юго-юго-востока",3.0,20–30%., ,"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",20–30%.
2020-05-08,Ялуторовск,5,26.7,764.8,15.0,"Ветер, дующий с юга",5.0,40%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2020-05-08,Ялуторовск,1,26.7,764.8,15.0,"Ветер, дующий с юга",5.0,40%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2020-05-08,Вагай,1,26.8,764.8,17.0,"Ветер, дующий с юга",4.0,60%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2020-05-10,Ишим,1,26.8,760.7,18.0,"Ветер, дующий с юго-востока",5.0,20–30%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2020-05-11,Ишим,5,26.7,757.9,35.0,"Ветер, дующий с юго-запада",5.0,70 – 80%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",20–30%.
2020-05-11,Ишим,1,26.7,757.9,35.0,"Ветер, дующий с юго-запада",5.0,70 – 80%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",20–30%.
2020-05-13,Вагай,3,28.7,755.8,34.0,"Ветер, дующий с западо-юго-запада",3.0,70 – 80%., ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",60%.
2020-07-15,Уват,3,31.1,763.0,43.0,"Ветер, дующий с юго-юго-запада",4.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2020-07-19,Уват,3,31.1,756.6,39.0,"Ветер, дующий с северо-северо-запада",2.0,50%., ,"Слоисто-кучевые, образовавшиеся не из кучевых.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",50%.
2020-07-19,Ишим,3,34.6,756.6,27.0,"Ветер, дующий с западо-северо-запада",2.0,60%., ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","90  или более, но не 100%"
2020-07-21,Уват,3,23.6,761.5,36.0,"Ветер, дующий с востоко-северо-востока",2.0,70 – 80%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",70 – 80%.
2020-07-22,Уват,3,25.8,760.6,35.0,"Ветер, дующий с севера",1.0,60%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",60%.
2020-07-24,Тюмень,1,22.6,756.3,34.0,"Ветер, дующий с северо-востока",4.0,"10%  или менее, но не 0", ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","10%  или менее, но не 0"
2020-08-03,Уват,4,34.5,759.8,23.0,"Ветер, дующий с юга",4.0,70 – 80%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2020-08-03,Ишим,1,35.8,761.3,18.0,"Ветер, дующий с юго-запада",3.0,20–30%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",20–30%.
2020-08-04,Уват,3,33.9,761.8,33.0,"Ветер, дующий с юга",2.0,60%., ,"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",20–30%.
2020-08-04,Ишим,1,32.7,761.5,30.0,"Ветер, дующий с востока",3.0,"10%  или менее, но не 0", ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","10%  или менее, но не 0"
2020-08-05,Уват,3,20.5,766.0,87.0,"Ветер, дующий с востоко-северо-востока",1.0,100%.,"Гроза слабая или умеренная без града, но с дождем и/или снегом в срок наблюдения. ","Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",100%.
2020-08-07,Уват,3,26.5,762.1,37.0,"Ветер, дующий с запада",2.0,20–30%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",20–30%.
2020-08-08,Уват,3,28.8,755.8,33.0,"Ветер, дующий с юга",3.0,70 – 80%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",60%.
2020-08-09,Уват,3,29.4,751.6,33.0,"Ветер, дующий с юга",2.0,70 – 80%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",60%.
2020-08-09,Уват,4,29.4,751.6,33.0,"Ветер, дующий с юга",2.0,70 – 80%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",60%.
2020-08-10,Уват,3,28.5,747.4,41.0,"Ветер, дующий с востока",3.0,70 – 80%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",70 – 80%.
2020-08-11,Ишим,3,26.8,745.6,34.0,"Ветер, дующий с юга",3.0,"90  или более, но не 100%", ,"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",50%.
2020-09-10,Ишим,1,21.5,766.0,24.0,"Ветер, дующий с юго-юго-запада",5.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
